iter	Passed	Remaining
0	212	211967
1	281	140380
2	312	103846
3	342	85187
4	370	73770
5	399	66107
6	430	61052
7	462	57407
8	492	54257
9	521	51587
10	549	49432
11	579	47750
12	606	46068
13	631	44480
14	656	43141
15	682	41945
16	707	40905
17	736	40174
18	764	39453
19	788	38638
20	815	38032
21	845	37566
22	871	37006
23	902	36684
24	930	36295
25	958	35918
26	985	35532
27	1013	35177
28	1038	34765
29	1069	34566
30	1096	34280
31	1123	33986
32	1150	33718
33	1178	33481
34	1206	33263
35	1235	33075
36	1265	32924
37	1292	32729
38	1327	32701
39	1356	32565
40	1389	32490
41	1419	32387
42	1447	32208
43	1475	32049
44	1503	31914
45	1535	31843
46	1562	31688
47	1588	31513
48	1613	31320
49	1643	31228
50	1667	31033
51	1693	30868
52	1718	30711
53	1744	30565
54	1777	30543
55	1805	30429
56	1835	30368
57	1860	30216
58	1885	30076
59	1911	29950
60	1935	29800
61	1960	29663
62	1989	29584
63	2018	29526
64	2048	29473
65	2077	29401
66	2105	29319
67	2133	29246
68	2165	29218
69	2197	29191
70	2227	29143
71	2255	29069
72	2282	28989
73	2313	28949
74	2345	28931
75	2373	28854
76	2400	28774
77	2430	28732
78	2457	28652
79	2482	28544
80	2510	28480
81	2534	28371
82	2560	28291
83	2589	28235
84	2616	28168
85	2643	28099
86	2675	28074
87	2704	28026
88	2735	27996
89	2763	27940
90	2791	27885
91	2821	27847
92	2850	27803
93	2881	27774
94	2909	27713
95	2934	27634
96	2960	27556
97	2985	27476
98	3011	27403
99	3035	27321
100	3062	27256
101	3088	27188
102	3112	27107
103	3137	27032
104	3164	26972
105	3187	26887
106	3212	26809
107	3237	26743
108	3265	26696
109	3293	26650
110	3318	26576
111	3344	26514
112	3370	26454
113	3395	26389
114	3420	26324
115	3450	26295
116	3476	26237
117	3502	26182
118	3526	26108
119	3555	26072
120	3582	26025
121	3613	26001
122	3641	25962
123	3671	25934
124	3700	25901
125	3729	25869
126	3753	25804
127	3779	25746
128	3805	25693
129	3830	25636
130	3854	25571
131	3882	25527
132	3910	25489
133	3936	25440
134	3961	25380
135	3985	25321
136	4011	25268
137	4046	25275
138	4071	25220
139	4098	25175
140	4123	25124
141	4152	25090
142	4176	25030
143	4200	24969
144	4226	24921
145	4252	24873
146	4277	24820
147	4301	24761
148	4325	24706
149	4352	24666
150	4379	24622
151	4404	24569
152	4428	24516
153	4453	24467
154	4478	24412
155	4504	24373
156	4531	24329
157	4558	24290
158	4630	24492
159	4669	24514
160	4694	24462
161	4720	24416
162	4759	24438
163	4801	24477
164	4838	24486
165	4876	24502
166	4906	24473
167	4935	24441
168	4971	24447
169	5004	24432
170	5037	24419
171	5072	24421
172	5103	24396
173	5133	24370
174	5163	24340
175	5189	24296
176	5221	24278
177	5258	24284
178	5298	24302
179	5337	24313
180	5371	24305
181	5402	24282
182	5432	24252
183	5463	24227
184	5494	24203
185	5527	24188
186	5560	24175
187	5589	24140
188	5619	24111
189	5647	24074
190	5678	24050
191	5710	24031
192	5750	24044
193	5789	24052
194	5824	24043
195	5864	24057
196	5907	24078
197	5940	24063
198	5979	24066
199	6011	24047
200	6046	24037
201	6077	24008
202	6109	23986
203	6140	23959
204	6169	23927
205	6203	23910
206	6232	23875
207	6261	23842
208	6291	23809
209	6320	23776
210	6348	23737
211	6376	23699
212	6403	23659
213	6434	23631
214	6460	23588
215	6487	23546
216	6515	23509
217	6547	23486
218	6573	23443
219	6599	23397
220	6625	23355
221	6649	23304
222	6674	23257
223	6702	23218
224	6730	23181
225	6756	23137
226	6781	23091
227	6810	23059
228	6843	23041
229	6880	23035
230	6910	23003
231	6935	22958
232	6964	22927
233	7002	22922
234	7027	22877
235	7053	22834
236	7078	22788
237	7104	22747
238	7130	22703
239	7156	22663
240	7181	22618
241	7206	22572
242	7233	22532
243	7262	22501
244	7288	22461
245	7316	22426
246	7346	22396
247	7372	22355
248	7399	22316
249	7429	22289
250	7459	22258
251	7486	22222
252	7514	22187
253	7548	22168
254	7581	22151
255	7612	22124
256	7641	22092
257	7669	22058
258	7701	22033
259	7734	22013
260	7768	21995
261	7798	21967
262	7828	21938
263	7860	21915
264	7888	21879
265	7916	21845
266	7944	21809
267	7972	21776
268	8000	21741
269	8030	21711
270	8057	21675
271	8086	21642
272	8118	21618
273	8147	21587
274	8174	21550
275	8204	21522
276	8229	21479
277	8259	21450
278	8290	21425
279	8317	21388
280	8347	21357
281	8374	21322
282	8401	21285
283	8430	21255
284	8460	21224
285	8488	21190
286	8515	21154
287	8545	21127
288	8572	21090
289	8597	21049
290	8627	21019
291	8655	20985
292	8680	20945
293	8707	20909
294	8737	20881
295	8769	20856
296	8801	20832
297	8839	20823
298	8869	20795
299	8901	20769
300	8930	20739
